© 2000-2023 QIAGEN. All rights reserved.				
Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
UVA-Induced MAPK Signaling	1.76	0.194	2.309	"FOS,JUN,PARP10,PARP12,PARP16,PDIA3,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PLCZ1,RAP1A,RAP1B,RAP2A,RPS6KB2,RRAS,SMPD4,TP53"
LPS-stimulated MAPK Signaling	1.76	0.2	2.668	"ATF2,CHUK,ELK1,FOS,JUN,MAP2K3,MAP2K6,PIK3C3,PIK3CB,PIK3R2,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS"
Cyclins and Cell Cycle Regulation	1.76	0.2	-1.069	"ATR,CCND2,CDK1,CDK2,CDK7,CDKN2A,E2F3,HDAC5,PPM1L,PPP2CA,PPP2CB,PPP2R1B,RB1,RBL2,SIN3A,TGFB1,TP53"
Thyroid Cancer Signaling	1.73	0.203	3.5	"AKT3,ELK1,FOS,HNF1A,IRS2,JUN,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RRAS,TCF3,TCF7L2,TP53"
Apelin Muscle Signaling Pathway	1.7	0.229	0	"AKT3,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,PRKAA2,PRKAB1"
PFKFB4 Signaling Pathway	1.7	0.229	0.632	"ATF2,CREB3L4,FBP2,GNAS,HK3,MAP2K3,MAP2K6,NCOA3,PRKAR1B,TGFB1,TP53"
ERBB Signaling	1.69	0.194	2.668	"ELK1,ERBB2,FOS,JUN,MAP2K3,MAP2K6,PAK6,PIK3C3,PIK3CB,PIK3R2,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS,SOS2"
CDP-diacylglycerol Biosynthesis I	1.68	0.28	2.646	"AGPAT2,AGPAT4,AGPAT5,CRLS1,GPAT4,LPCAT1,LPGAT1"
Sirtuin Signaling Pathway	1.67	0.157	0.493	"AGTRAP,ARG2,ATG101,ATG12,ATG13,ATG2B,ATG4A,ATP5F1A,BAX,CLOCK,CPS1,DUSP6,FOXO3,GABARAP,GABPB2,H1-6,HMGCS2,HSF1,JUN,LDHA,MLYCD,MT-ND1,MT-ND2,MT-ND6,NDUFAF1,NDUFB8,NDUFV3,NEDD4,NQO1,PCK1,PFKFB3,POLR1B,POLR1E,POLR3D,PRKAA2,RRP9,SLC2A1,SMARCA5,TIMM8A,TOMM34,TOMM40L,TP53,TUBA3C/TUBA3D,TUBA4A,UQCRFS1,ZBTB14"
PDGF Signaling	1.66	0.195	3.153	"ACP1,CSNK2A1,CSNK2A2,ELK1,FOS,INPP5B,JUN,PDGFRB,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RRAS,SOS2,SPHK2"
Regulation Of The Epithelial Mesenchymal Transition In Development Pathway	1.66	0.195	1.387	"APH1A,AXIN1,BCL9,DVL3,FZD5,FZD6,FZD7,HNF1A,LOX,PSEN1,PSEN2,PYGO2,RBPJ,TCF3,TCF7L2,WNT2B,WNT5A"
Renin-Angiotensin Signaling	1.65	0.182	2.837	"ACE,ADCY3,ATF2,ELK1,FOS,ITPR2,ITPR3,JUN,PAK6,PIK3C3,PIK3CB,PIK3R2,PRKAR1B,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS,SHF,SOS2"
Neuroprotective Role of THOP1 in Alzheimer's Disease	1.65	0.182	0	"ACE,CFD,CMA1,CTRB2,DPP4,FAP,HGFAC,HLA-A,HTRA3,KLK1,KLK10,KLK6,MAPT,MMP9,PRKAR1B,PRSS2,PRSS23,PRSS3,PRTN3,SST,TPSAB1/TPSB2,TPSG1"
ERBB4 Signaling	1.63	0.206	2.111	"APH1A,PIK3C3,PIK3CB,PIK3R2,PRKCE,PRKCG,PRKCI,PSEN1,PSEN2,RAP1A,RAP1B,RAP2A,RRAS,SOS2"
Superpathway of Citrulline Metabolism	1.63	0.333	1.342	"ARG1,ARG2,CPS1,GLS2,NOS1"
Telomerase Signaling	1.63	0.185	1.213	"AKT3,ELF1,ELF2,ELF3,HDAC5,PIK3C3,PIK3CB,PIK3R2,PPM1L,PPP2CA,PPP2CB,PPP2R1B,RAP1A,RAP1B,RAP2A,RB1,RRAS,SOS2,TERF1,TP53"
Urea Cycle	1.62	0.5	#NUM!	"ARG1,ARG2,CPS1"
Zymosterol Biosynthesis	1.62	0.5	#NUM!	"CYP51A1,LBR,MSMO1"
Th1 Pathway	1.62	0.18	3	"APH1A,CD274,CD8A,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,ICOSLG/LOC102723996,IFNGR1,IL18,ITGB2,MAP2K6,NFATC3,PIK3C3,PIK3CB,PIK3R2,PSEN1,PSEN2,STAT4,VAV1"
Semaphorin Neuronal Repulsive Signaling Pathway	1.61	0.173	0.6	"ACAN,AKT3,CRMP1,ERBB2,FYN,ITGA2B,ITGB2,ITGB4,ITGB5,MAP2K3,MAP2K6,MAPT,MPRIP,MYL6,MYL9,PAK6,PDE4D,PIK3C3,PIK3CB,PIK3R2,PIP5K1C,PPP1R12A,PPP1R12B,PRKAR1B,RRAS,TP53"
NRF2-mediated Oxidative Stress Response	1.6	0.16	1.886	"ACTB,AOX1,DNAJA3,DNAJB6,DNAJB9,DNAJC10,DNAJC15,DNAJC19,DNAJC5,DNAJC7,ENC1,FOS,FTL,GSTM1,GSTM2,GSTM5,GSTO2,HSPB8,JUN,JUND,MAFG,MAP2K3,MAP2K6,MGST1,NQO1,PIK3C3,PIK3CB,PIK3R2,PMF1/PMF1-BGLAP,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS,SQSTM1,VCP"
EGF Signaling	1.59	0.214	3.464	"AKT3,CSNK2A1,CSNK2A2,ELK1,FOS,ITPR2,ITPR3,JUN,PIK3C3,PIK3CB,PIK3R2,SOS2"
ILK Signaling	1.58	0.164	1.095	"ACTB,ACTN1,ACTN2,ACTN4,AKT3,ATF2,CREB3L4,FOS,ILKAP,IRS2,ITGB2,ITGB4,ITGB5,JUN,MAP2K6,MMP9,MYH14,MYH4,MYL6,MYL9,MYO10,PIK3C3,PIK3CB,PIK3R2,PPM1L,PPP1R12A,PPP2CA,PPP2CB,PPP2R1B,PTGS2,RHOB,RHOT1,RICTOR"
Oxytocin Signaling Pathway	1.58	0.156	2.714	"AKT3,ATF2,ATP2B3,CHP1,CREB3L4,FOS,GNB1,GNB1L,GNB3,GNG11,GNG4,HSPB7,ITPR2,ITPR3,LPL,MPRIP,MYH14,MYH4,MYL6,MYL9,MYLK,MYO10,PIK3C3,PIK3CB,PIK3R2,PLA2G12B,PLA2G2A,PLCB1,PLCB3,PPP1R12A,PPP1R12B,PRKAA2,PRKAB1,PRKAR1B,PRKCE,PRKCG,PRKCI,PTGS2,RAP1A,RAP1B,RAP2A,RRAS,SLC39A7,SOS2"
Endothelin-1 Signaling	1.58	0.165	2.828	"ADCY3,CASP14,CASP2,CASP4,FOS,GNA14,GNA15,GNAS,ITPR2,ITPR3,JUN,LCAT,NOS1,PDIA3,PIK3C3,PIK3CB,PIK3R2,PLA2G12B,PLA2G2A,PLCB1,PLCB3,PLCZ1,PNPLA8,PRKCE,PRKCG,PRKCI,PTGS2,RAP1A,RAP1B,RAP2A,RRAS,SHF"
Melanoma Signaling	1.58	0.22	1.265	"AKT3,CDKN2A,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RB1,RRAS,TP53"
RAC Signaling	1.58	0.175	2.357	"BAIAP2,CYBB,ELK1,IQGAP3,ITGA2B,ITGB2,ITGB4,ITGB5,JUN,NCF2,PAK6,PARD3,PIK3C3,PIK3CB,PIK3R2,PIP5K1A,PIP5K1B,PIP5K1C,PRKCI,RAP1A,RAP1B,RAP2A,RRAS,WASF1"
IL-17A Signaling in Fibroblasts	1.56	0.237	#NUM!	"CEBPB,CHUK,CXCL5,FOS,JUN,LCN2,MMP1,TRAF3IP2,TRAF6"
Thrombopoietin Signaling	1.56	0.206	2.496	"FOS,IRS2,JUN,PIK3C3,PIK3CB,PIK3R2,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS"
Immunogenic Cell Death Signaling Pathway	1.53	0.189	3.153	"ATG12,BAX,CGAS,DAPK1,DAPK3,HSPA14,HSPA6,HSPA8,IFNGR1,IL1B,IRF3,MLKL,NGFR,PDIA3,RIPK3,STING1,TNFRSF1B"
Salvage Pathways of Pyrimidine Ribonucleotides	1.52	0.186	1.886	"APOBEC3G,CDK1,CDK2,CDK7,DAPK1,MAP2K3,MAP2K6,MAP3K6,PCK1,PLK1,POMK,PRKAA2,PRKCE,PRPF4B,PYCR3,TTK,UCK1,UCK2"
Synaptic Long Term Potentiation	1.51	0.174	1.877	"ATF2,CHP1,CREB3L4,GNA14,GNA15,ITPR2,ITPR3,PDIA3,PLCB1,PLCB3,PLCZ1,PPP1CC,PPP1R12A,PPP1R14D,PPP1R3D,PRKAR1B,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS"
Glioma Signaling	1.51	0.176	2.496	"AKT3,CCND2,CDKN2A,E2F3,HDAC5,IDH3G,PDGFRB,PIK3C3,PIK3CB,PIK3R2,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RB1,RBL2,RRAS,SIN3A,SOS2,TP53"
Glycolysis I	1.51	0.259	1.89	"ALDOB,ALDOC,ENO1,ENO3,FBP2,PKLR,PKM"
VEGF Family Ligand-Receptor Interactions	1.5	0.19	2.5	"AKT3,FLT1,FOS,PIK3C3,PIK3CB,PIK3R2,PLA2G12B,PLA2G2A,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS,SOS2"
Coronavirus Pathogenesis Pathway	1.5	0.162	0.174	"ACE,ACE2,BAX,CDK2,CHUK,E2F3,ELK1,FOS,HDAC5,IL1B,IRF3,JUN,NPC1,NPM1,OAS2,OAS3,PIK3C3,PTGS2,RB1,RBL2,RIPK3,RPS10,RPS15,RPS28,RPS29,RPS3,RPS7,SIGMAR1,SIN3A,STING1,TGFB1,TP53,TRAF3"
Airway Inflammation in Asthma	1.49	0.242	#NUM!	"CCL20,ELANE,IFNGR1,IL33,MMP9,RNASE2,RNASE3,TGFB1"
Cancer Drug Resistance By Drug Efflux	1.48	0.207	1.508	"ABCC10,ABCG2,AKT3,FOXO3,PIK3CB,PIK3R2,PTGS2,RAP1A,RAP1B,RAP2A,RRAS,TP53"
Role Of Osteoclasts In Rheumatoid Arthritis Signaling Pathway	1.48	0.152	3.727	"ACP5,ADAM28,ADAM8,AKT3,ATF2,CHP1,CHUK,COL11A1,COL12A1,COL28A1,COL2A1,COL4A2,COL8A1,CREB3L4,ELK1,FCGR3A/FCGR3B,FOS,FOXO3,IL18,IL1B,IL1R2,JUN,MAP2K3,MAP2K6,MMP1,MMP10,MMP3,MMP7,MMP8,MMP9,NGFR,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RHOB,RHOT1,RRAS,SFRP1,SFRP4,SOS2,TNFRSF1B,TRAF5,TRAF6,TYROBP"
VDR/RXR Activation	1.47	0.192	-0.632	"CAMP,CEBPB,CSNK2A1,IGFBP5,IGFBP6,KLK6,NCOA2,NCOA3,NCOR1,NCOR2,PRKCE,PRKCG,PRKCI,SEMA3B,YY1"
Toll-like Receptor Signaling	1.47	0.192	2.887	"CHUK,ELK1,FOS,IL18,IL1B,IL1RN,IL33,JUN,MAP2K3,MAP2K6,MAP4K4,MYD88,TLR8,TRAF1,TRAF6"
RHOGDI Signaling	1.47	0.159	-0.655	"ACTB,ARHGAP9,ARHGEF18,ARHGEF2,CDH19,CDH2,CDH3,CDH6,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,ITGA2B,ITGB2,ITGB4,ITGB5,MYH14,MYH4,MYL6,MYL9,MYO10,PAK6,PIP5K1A,PIP5K1B,PIP5K1C,PPP1R12A,PPP1R12B,RDX,RHOB,RHOT1,WASF1"
Inhibition of ARE-Mediated mRNA Degradation Pathway	1.46	0.167	-1.213	"AGO3,AKT3,CNOT10,DIS3,EXOSC4,EXOSC5,NGFR,PPM1L,PPP2CA,PPP2CB,PPP2R1B,PRKAR1B,PSMA3,PSMA6,PSMB1,PSMB5,PSMB9,PSMD11,PSMD5,PSMD7,PSMD8,PSMD9,PSME2,PSME3,TNFRSF1B,YWHAQ,YWHAZ"
GNRH Signaling	1.46	0.162	2.414	"ADCY3,ATF2,CREB3L4,ELK1,FOS,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,ITPR2,ITPR3,JUN,MAP2K3,MAP2K6,MAP3K6,PAK6,PLCB1,PLCB3,PRKAR1B,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS,SOS2"
VEGF Signaling	1.44	0.182	2.138	"ACTB,ACTN1,ACTN2,ACTN4,AKT3,EIF1AY,EIF2B4,ELAVL1,FLT1,FOXO3,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RRAS,SOS2"
Ephrin B Signaling	1.44	0.194	1	"ACP1,AXIN1,CAP1,CXCL12,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,HNRNPK,VAV1"
IL-12 Signaling and Production in Macrophages	1.44	0.157	-0.164	"AKT3,APOC4,C3,CEBPB,CHUK,COL2A1,EBI3,FCGR3A/FCGR3B,FOS,IFNGR1,IL18,IL6ST,IRF3,JUN,LPA,LYZ,MAP2K3,MAP2K6,MYD88,NFATC3,ORM1,PIAS2,PIK3C3,PIK3CB,PIK3R2,PRKAA2,PRKAB1,PRKCE,PRKCG,PRKCI,RIPK2,S100A8,SERPINA1,SPHK2,STAT4,TGFB1,TRAF6"
Uridine-5'-phosphate Biosynthesis	1.43	0.667	#NUM!	"CAD,UMPS"
Hypusine Biosynthesis	1.43	0.667	#NUM!	"DHPS,DOHH"
Biotin-carboxyl Carrier Protein Assembly	1.43	0.667	#NUM!	"ACACA,HLCS"
L-serine Degradation	1.43	0.667	#NUM!	"SDS,SRR"
IL-3 Signaling	1.42	0.19	2.84	"AKT3,CHP1,ELK1,FOS,JUN,PIK3C3,PIK3CB,PIK3R2,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS"
Renal Cell Carcinoma Signaling	1.42	0.19	2.887	"AKT3,FOS,JUN,PAK6,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RRAS,SLC2A1,SOS2,TGFB1,VHL"
WNT/Ca+ pathway	1.41	0.197	1.941	"ATF2,AXIN1,CREB3L4,DVL3,FZD5,FZD6,FZD7,NFATC3,PDIA3,PLCB1,PLCB3,PLCZ1,WNT5A"
Dilated Cardiomyopathy Signaling Pathway	1.39	0.167	0.218	"ACTB,ADCY3,AKT3,BAX,CNN1,DES,DMD,DSC2,GNAS,ITPR2,ITPR3,KDM5A,LMNA,MYH14,MYH4,MYL6,MYL9,MYO10,PDE3A,PLN,PRKAR1B,PRKCE,TPM1,TTN,UTRN"
Tumor Microenvironment Pathway	1.39	0.162	4.271	"AKT3,ARG1,CD274,CXCL12,FOS,FOXO3,HLA-A,IDO1,IL1B,JUN,MMP1,MMP10,MMP3,MMP7,MMP8,MMP9,PIK3C3,PIK3CB,PIK3R2,PLAU,PTGS2,RAP1A,RAP1B,RAP2A,RRAS,SLC2A1,SLC2A3,TGFB1,TNC"
Xenobiotic Metabolism General Signaling Pathway	1.38	0.168	2.041	"AKT3,FTL,GSTM1,GSTM2,GSTM5,GSTO2,MAP2K3,MAP2K6,MAP3K6,MGST1,NQO1,PIK3C3,PIK3CB,PIK3R2,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS,UGT1A6,UGT2B17,UGT8"
PCP (Planar Cell Polarity) Pathway	1.38	0.2	1.155	"ATF2,CTHRC1,DVL3,FZD5,FZD6,FZD7,JUN,JUND,LGR4,ROR2,WNT2B,WNT5A"
SPINK1 Pancreatic Cancer Pathway	1.38	0.2	-0.577	"CPA3,CPQ,CTRB2,CTRC,ELANE,KLK1,KLK10,KLK6,PRSS2,PRSS3,SPINK1,TGFB1"
Cleavage and Polyadenylation of Pre-mRNA	1.38	0.333	#NUM!	"CPSF1,CPSF2,CSTF1,CSTF3"
Regulation of Actin-based Motility by Rho	1.37	0.174	1	"ACTB,BAIAP2,ITGA2B,ITGB2,ITGB4,ITGB5,MPRIP,MYL6,MYL9,MYLK,PAK6,PIP5K1A,PIP5K1B,PIP5K1C,PPP1R12A,PPP1R12B,RHOB,RHOT1,WASF1,WIPF1"
CD40 Signaling	1.36	0.194	2.309	"CHUK,FOS,JUN,MAP2K3,MAP2K6,PIK3C3,PIK3CB,PIK3R2,PTGS2,TRAF1,TRAF3,TRAF5,TRAF6"
Ephrin Receptor Signaling	1.36	0.158	2.6	"ACP1,AKT3,ATF2,AXIN1,CREB3L4,CXCL12,EPHA2,FYN,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,ITGA2B,ITGB2,ITGB4,ITGB5,MAP4K4,PAK6,PTPN13,RAP1A,RAP1B,RAP2A,RRAS,SDC2,SDCBP,SORBS1,SOS2,WIPF1"
Nucleotide Excision Repair Pathway	1.35	0.229	#NUM!	"CDK7,ERCC1,ERCC2,ERCC3,ERCC4,GTF2H5,MNAT1,POLR2L"
Estrogen-Dependent Breast Cancer Signaling	1.34	0.185	3.051	"AKR1C1/AKR1C2,AKT3,ATF2,CREB3L4,DHRS11,ELK1,FOS,JUN,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RRAS"
Axonal Guidance Signaling	1.34	0.141	#NUM!	"ABLIM3,ACE,ACE2,ADAM28,ADAM8,AKT3,BAIAP2,CHP1,CXCL12,EPHA2,ERAP2,ERBB2,FYN,FZD5,FZD6,FZD7,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,ITGA2B,ITGB2,ITGB4,ITGB5,MKNK1,MMP1,MMP10,MMP3,MMP7,MMP8,MMP9,MYL6,MYL9,NFATC3,NGFR,PAK6,PDIA3,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PLCZ1,PRKAR1B,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,ROBO2,RRAS,RTN4,SDC2,SDCBP,SEMA3B,SEMA4C,SEMA4G,SOS2,TUBA3C/TUBA3D,TUBA4A,TUBB,TUBB1,TUBB4A,TUBG1,WIPF1,WNT2B,WNT5A"
April Mediated Signaling	1.31	0.214	2.333	"CHUK,ELK1,FOS,JUN,NFATC3,TRAF1,TRAF3,TRAF5,TRAF6"
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	1.3	0.169	1.508	"AKT3,AXIN1,CDX2,FZD5,FZD6,FZD7,GATA6,IL6ST,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RIF1,RRAS,SMAD5,SOS2,TP53,WNT2B,WNT5A"
Mismatch Repair in Eukaryotes	1.3	0.278	2.236	"MCM9,MSH3,RFC2,RFC5,SLC19A1"
Integrin Signaling	1.3	0.156	1.732	"ACTB,ACTN1,ACTN2,ACTN4,AKT3,ARF3,FYN,ILKAP,ITGA2B,ITGB2,ITGB4,ITGB5,MPRIP,MYL9,MYLK,NEDD9,PAK6,PIK3C3,PIK3CB,PIK3R2,PPP1R12A,PPP1R12B,RAP1A,RAP1B,RAP2A,RHOB,RHOT1,RRAS,SOS2,TSPAN1,TSPAN7,TTN,WIPF1"
IL-1 Signaling	1.3	0.177	1	"ADCY3,CHUK,FOS,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,JUN,MAP2K3,MAP2K6,MYD88,PRKAR1B,TRAF6"
TGF-β Signaling	1.3	0.177	1.5	"FOS,INHBA,JUN,MAP2K3,MAP2K6,MAP4K1,PITX2,RAP1A,RAP1B,RAP2A,RRAS,SMAD5,SMURF1,SOS2,TFE3,TGFB1,TRAF6"
Interferon Signaling	1.29	0.222	1.89	"BAX,IFIT1,IFITM1,IFITM2,IFITM3,IFNGR1,MED14,PTPN2"
Fc Epsilon RI Signaling	1.27	0.169	2.236	"AKT3,FCER1G,FYN,INPP5B,MAP2K3,MAP2K6,PIK3C3,PIK3CB,PIK3R2,PLA2G12B,PLA2G2A,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS,SOS2,VAV1"
GDNF Family Ligand-Receptor Interactions	1.27	0.184	2.309	"FOS,GFRA2,IRS2,ITPR2,ITPR3,JUN,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RRAS,SOS2"
Macropinocytosis Signaling	1.27	0.184	1.897	"ACTN4,ITGB2,ITGB4,ITGB5,PIK3C3,PIK3CB,PIK3R2,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS"
Endocannabinoid Cancer Inhibition Pathway	1.26	0.163	-1.225	"ADCY3,AKT3,ATF2,CASP14,CASP2,CASP4,CCND2,CREB3L4,GNB1L,HNF1A,MAP2K3,MAP2K6,NOS1,NUPR1,PIK3C3,PIK3CB,PIK3R2,PRKAA2,PRKAB1,PRKAR1B,SMPD4,SPTLC2,TCF3,TCF7L2"
Regulation of Cellular Mechanics by Calpain Protease	1.26	0.178	0.707	"ACTN1,ACTN2,ACTN4,CAST,CCND2,CDK1,CDK2,ITGA2B,ITGB2,ITGB4,ITGB5,RAP1A,RAP1B,RAP2A,RB1,RRAS"
Insulin Receptor Signaling	1.26	0.164	2.4	"AKT3,EIF2B4,EPM2A,FOXO3,FYN,INPP5B,IRS2,PIK3C3,PIK3CB,PIK3R2,PPP1CC,PPP1R12A,PPP1R14D,PPP1R3D,PRKAR1B,PRKCI,RAP1A,RAP1B,RAP2A,RPS6KB2,RRAS,SOS2,TRIP10"
B Cell Activating Factor Signaling	1.25	0.209	2.121	"CHUK,ELK1,FOS,JUN,NFATC3,TRAF1,TRAF3,TRAF5,TRAF6"
GM-CSF Signaling	1.23	0.186	2.496	"AKT3,ELK1,HCK,PIK3C3,PIK3CB,PIK3R2,RACK1,RAP1A,RAP1B,RAP2A,RRAS,RUNX1,SOS2"
Complement System	1.23	0.216	-0.816	"C2,C3,CD46,CD59,CFD,CFI,ITGB2,MBL2"
Glutaryl-CoA Degradation	1.21	0.263	1	"CA1,CDYL,GCDH,HADH,TBXAS1"
NGF Signaling	1.21	0.167	3.578	"AKT3,ATF2,BAX,CHUK,CREB3L4,ELK1,MAP3K6,NGFR,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RPS6KB2,RRAS,SMPD4,SOS2,TP53,TRAF6"
Apelin Cardiomyocyte Signaling Pathway	1.19	0.172	1.698	"AKT3,MYL6,MYL9,MYLK,PDIA3,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PLCZ1,PLN,PRKCE,PRKCG,PRKCI,SLC8A1,TGFB1"
IL-17 Signaling	1.18	0.155	3.9	"AKT3,ATF2,CCL20,CEBPB,CXCL5,ELK1,FOS,IL18,IL1B,IL33,JUN,LCN2,MAP2K3,MAP2K6,MMP3,MMP9,PIK3C3,PIK3CB,PIK3R2,PTGS2,RAP1A,RAP1B,RAP2A,RRAS,SRSF1,TGFB1,TRAF3IP2,TRAF5,TRAF6"
Amyloid Processing	1.18	0.196	-2.236	"AKT3,APH1A,CSNK1E,CSNK2A1,CSNK2A2,MAPT,PRKAR1B,PRKCE,PSEN1,PSEN2"
Cardiac β-adrenergic Signaling	1.17	0.156	-0.243	"ADCY3,AKAP17A,AKAP8,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,PALM2AKAP2,PDE3A,PDE4D,PDE7A,PKIB,PKIG,PLN,PPM1L,PPP1CC,PPP1R12A,PPP1R14D,PPP1R3D,PPP2CA,PPP2CB,PPP2R1B,PRKAR1B,SLC8A1"
Prostate Cancer Signaling	1.17	0.167	#NUM!	"AKT3,ATF2,CDK2,CHUK,CREB3L4,E2F3,HDAC5,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RB1,RBL2,RRAS,SIN3A,SOS2,TP53"
SNARE Signaling Pathway	1.16	0.162	0.426	"ADCY3,CPLX2,DNAJC5,GOSR1,GOSR2,HSPA8,MYH14,MYH4,MYL6,MYL9,MYO10,NAPA,PRKAR1B,RAB3A,SNAP25,STX1A,STXBP2,SYN1,SYN2,SYN3,SYT1,SYT7"
Role of PKR in Interferon Induction and Antiviral Response	1.16	0.162	1.147	"ATF2,BAX,CHUK,FOS,HSPA14,HSPA6,HSPA8,IFNGR1,IL18,IL1B,IRF3,JUN,MAP2K3,MAP2K6,MSR1,MYD88,NPM1,PDGFRB,SCARA5,TP53,TRAF3,TRAF6"
Chondroitin Sulfate Biosynthesis	1.16	0.19	1.508	"B3GALT6,B4GALT7,CHPF,CHPF2,CHST12,CHST4,CHST5,NDST1,SULT1A2,SULT1A3/SULT1A4,SULT2B1"
Arginine Degradation I (Arginase Pathway)	1.16	0.5	#NUM!	"ARG1,ARG2"
Actin Nucleation by ARP-WASP Complex	1.15	0.172	2.111	"BAIAP2,ITGA2B,ITGB2,ITGB4,ITGB5,PPP1R12A,PPP1R12B,RAP1A,RAP1B,RAP2A,RHOB,RHOT1,RRAS,SOS2,WASF1,WIPF1"
Role of IL-17A in Psoriasis	1.15	0.286	1	"CCL20,CXCL5,S100A8,S100A9"
"D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis"	1.13	0.231	-0.816	"PIP5K1A,PIP5K1B,PIP5K1C,PLCB1,PLCB3,PLCZ1"
Tryptophan Degradation III (Eukaryotic)	1.13	0.231	1.342	"CA1,CDYL,GCDH,HADH,IDO1,TBXAS1"
Inhibition of Matrix Metalloproteases	1.11	0.205	-1.89	"MMP1,MMP10,MMP3,MMP7,MMP8,MMP9,SDC2,TIMP2"
Citrulline Biosynthesis	1.11	0.333	#NUM!	"ARG1,ARG2,GLS2"
Folate Transformations I	1.11	0.333	#NUM!	"MTHFD2,MTR,SHMT2"
Glioma Invasiveness Signaling	1.11	0.178	1.941	"MMP9,PIK3C3,PIK3CB,PIK3R2,PLAU,PLAUR,RAP1A,RAP1B,RAP2A,RHOB,RHOT1,RRAS,TIMP2"
IL-13 Signaling Pathway	1.11	0.164	2.982	"AKT3,ANO1,ARG1,CHI3L1,CLCA1,FGR,FOSL2,FOXA2,FYN,HCK,IL13RA1,IL33,JUN,PIK3C3,PIK3CB,PIK3R2,TGFB1,TP53,TRAF6"
Bladder Cancer Signaling	1.11	0.164	1	"CDKN2A,DAPK1,E2F3,ERBB2,HDAC5,MMP1,MMP10,MMP3,MMP7,MMP8,MMP9,RAP1A,RAP1B,RAP2A,RB1,RBL2,RRAS,SIN3A,TP53"
Role of Tissue Factor in Cancer	1.11	0.164	#NUM!	"AKT3,FGR,FYN,GNA14,GNA15,HCK,IL1B,MMP1,P4HB,PIK3C3,PIK3CB,PIK3R2,PLAUR,PLCB1,RAP1A,RAP1B,RAP2A,RRAS,TP53"
Role Of Osteoblasts In Rheumatoid Arthritis Signaling Pathway	1.1	0.148	1.859	"AKT3,AXIN1,CSNK1E,CSNK1G1,CSNK1G2,CSNK1G3,CTSE,CXCL12,FZD5,FZD6,FZD7,HNF1A,IL18,IL1B,IL33,IL6ST,MMP1,MMP10,MMP3,MMP7,MMP8,MMP9,PIK3C3,PIK3CB,PIK3R2,PTGS2,SFRP1,SFRP4,SMAD5,SMURF1,STAT4,TCF3,TCF7L2,TGFB1,WNT2B,WNT5A"
