	Comparison	Taxa	Method	Group	LDA	P.unadj	P.adj	Significance
d_Bacteria|p_Actinobacteria|c_Acidimicrobiia|o_Acidimicrobiales|f_Ilumatobacteraceae|g_Ilumatobacter	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Acidimicrobiia|o_Acidimicrobiales|f_Ilumatobacteraceae|g_Ilumatobacter	LEfSe	1	0.73889326	9.01E-06	9.01E-06	***
d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Rhodospirillales|f_Rhodospirillaceae|g_Magnetospirillum	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Rhodospirillales|f_Rhodospirillaceae|g_Magnetospirillum	LEfSe	1	0.738770447	4.36E-07	4.36E-07	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Lentilactobacillus|s_Lentilactobacillus parabuchneri	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Lentilactobacillus|s_Lentilactobacillus parabuchneri	LEfSe	1	0.738644305	3.97E-09	3.97E-09	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Syntrophomonadaceae|g_Syntrophothermus	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Syntrophomonadaceae|g_Syntrophothermus	LEfSe	3	0.738459124	3.16E-12	3.16E-12	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Sutcliffiella|s_Sutcliffiella horikoshii	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Sutcliffiella|s_Sutcliffiella horikoshii	LEfSe	3	0.73775069	3.77E-09	3.77E-09	***
d_Bacteria|p_Tenericutes|c_Mollicutes|o_Acholeplasmatales|f_Acholeplasmataceae|g_Haploplasma	1 - 2 - 3 - 4	d_Bacteria|p_Tenericutes|c_Mollicutes|o_Acholeplasmatales|f_Acholeplasmataceae|g_Haploplasma	LEfSe	1	0.737038667	4.52E-08	4.52E-08	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Radiobacillus	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Radiobacillus	LEfSe	3	0.736792944	2.90E-11	2.90E-11	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Paenibacillaceae|g_Paenibacillus|s_Paenibacillus bovis	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Paenibacillaceae|g_Paenibacillus|s_Paenibacillus bovis	LEfSe	3	0.736638726	2.41E-13	2.41E-13	***
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Nonlabens|s_Nonlabens dokdonensis	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Nonlabens|s_Nonlabens dokdonensis	LEfSe	1	0.736385355	6.50E-05	6.50E-05	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Corynebacteriales|f_Nocardiaceae|g_Rhodococcus|s_Rhodococcus sp. PBTS 1	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Corynebacteriales|f_Nocardiaceae|g_Rhodococcus|s_Rhodococcus sp. PBTS 1	LEfSe	1	0.736266778	0.000745562	0.000745562	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Cardiobacteriales|f_Cardiobacteriaceae|g_Dichelobacter	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Cardiobacteriales|f_Cardiobacteriaceae|g_Dichelobacter	LEfSe	1	0.73505058	0.001894356	0.001894356	**
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Xanthomonadales|f_Xanthomonadaceae|g_Luteimonas|s_Luteimonas sp. MC1750	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Xanthomonadales|f_Xanthomonadaceae|g_Luteimonas|s_Luteimonas sp. MC1750	LEfSe	1	0.735013561	0.003488043	0.003488043	**
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Streptosporangiales|f_Nocardiopsaceae|g_Streptomonospora	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Streptosporangiales|f_Nocardiopsaceae|g_Streptomonospora	LEfSe	1	0.735008028	3.62E-07	3.62E-07	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micrococcales|f_Microbacteriaceae|g_Microterricola	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micrococcales|f_Microbacteriaceae|g_Microterricola	LEfSe	1	0.735008028	3.44E-11	3.44E-11	***
d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Rhodobacterales|f_Roseobacteraceae|g_Mameliella	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Rhodobacterales|f_Roseobacteraceae|g_Mameliella	LEfSe	1	0.735008028	2.98E-07	2.98E-07	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micrococcales|f_Microbacteriaceae|g_Chryseoglobus	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micrococcales|f_Microbacteriaceae|g_Chryseoglobus	LEfSe	1	0.735008028	0.027045531	0.027045531	*
d_Bacteria|p_Bacteroidetes|c_Cytophagia|o_Cytophagales|f_Cyclobacteriaceae|g_Echinicola|s_Echinicola sp. 20G	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Cytophagia|o_Cytophagales|f_Cyclobacteriaceae|g_Echinicola|s_Echinicola sp. 20G	LEfSe	3	0.734932256	9.75E-11	9.75E-11	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micrococcales|f_Intrasporangiaceae|g_Arsenicicoccus	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micrococcales|f_Intrasporangiaceae|g_Arsenicicoccus	LEfSe	1	0.734738298	2.61E-08	2.61E-08	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Heyndrickxia|s_Heyndrickxia vini	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Heyndrickxia|s_Heyndrickxia vini	LEfSe	3	0.734646642	3.20E-07	3.20E-07	***
d_Bacteria|p_Planctomycetes|c_Planctomycetia|o_Planctomycetales|f_Planctomycetaceae|g_Gimesia|s_Gimesia aquarii	1 - 2 - 3 - 4	d_Bacteria|p_Planctomycetes|c_Planctomycetia|o_Planctomycetales|f_Planctomycetaceae|g_Gimesia|s_Gimesia aquarii	LEfSe	1	0.734623145	2.36E-06	2.36E-06	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Staphylococcaceae|g_Macrococcus|s_Macrococcus canis	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Staphylococcaceae|g_Macrococcus|s_Macrococcus canis	LEfSe	1	0.734512022	1.53E-09	1.53E-09	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Morganellaceae|g_Providencia|s_Providencia vermicola	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Morganellaceae|g_Providencia|s_Providencia vermicola	LEfSe	1	0.734332143	0.003791181	0.003791181	**
d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfomicrobiaceae|g_Desulfomicrobium|s_Desulfomicrobium baculatum	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfomicrobiaceae|g_Desulfomicrobium|s_Desulfomicrobium baculatum	LEfSe	1	0.733966107	5.04E-06	5.04E-06	***
d_Bacteria|p_Deinococcus-Thermus|c_Deinococci|o_Deinococcales|f_Deinococcaceae|g_Deinococcus|s_Deinococcus sp. KNUC1210	1 - 2 - 3 - 4	d_Bacteria|p_Deinococcus-Thermus|c_Deinococci|o_Deinococcales|f_Deinococcaceae|g_Deinococcus|s_Deinococcus sp. KNUC1210	LEfSe	1	0.733858126	4.96E-10	4.96E-10	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Peptococcaceae|g_Desulfofarcimen	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Peptococcaceae|g_Desulfofarcimen	LEfSe	3	0.733851389	6.45E-11	6.45E-11	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Paenibacillaceae|g_Paenibacillus|s_Paenibacillus albus	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Paenibacillaceae|g_Paenibacillus|s_Paenibacillus albus	LEfSe	3	0.733815842	3.41E-11	3.41E-11	***
d_Bacteria|p_Acidobacteria|c_Holophagae|o_Thermotomaculales|f_Thermotomaculaceae|g_Thermotomaculum|s_Thermotomaculum hydrothermale	1 - 2 - 3 - 4	d_Bacteria|p_Acidobacteria|c_Holophagae|o_Thermotomaculales|f_Thermotomaculaceae|g_Thermotomaculum|s_Thermotomaculum hydrothermale	LEfSe	1	0.733792623	4.88E-06	4.88E-06	***
d_Bacteria|p_Proteobacteria|c_Epsilonproteobacteria|o_Campylobacterales|f_Campylobacteraceae|g_Campylobacter|s_Campylobacter blaseri	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Epsilonproteobacteria|o_Campylobacterales|f_Campylobacteraceae|g_Campylobacter|s_Campylobacter blaseri	LEfSe	1	0.733792623	2.19E-05	2.19E-05	***
d_Bacteria|p_Acidobacteria|c_Holophagae|o_Thermotomaculales|f_Thermotomaculaceae|g_Thermotomaculum	1 - 2 - 3 - 4	d_Bacteria|p_Acidobacteria|c_Holophagae|o_Thermotomaculales|f_Thermotomaculaceae|g_Thermotomaculum	LEfSe	1	0.73288278	4.88E-06	4.88E-06	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Priestia|s_Priestia filamentosa	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Priestia|s_Priestia filamentosa	LEfSe	3	0.732644998	1.35E-14	1.35E-14	***
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Neisseriales|f_Neisseriaceae|g_Neisseria|s_Neisseria lactamica	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Neisseriales|f_Neisseriaceae|g_Neisseria|s_Neisseria lactamica	LEfSe	1	0.732110464	1.63E-08	1.63E-08	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Streptococcus sp. DAT741	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Streptococcus sp. DAT741	LEfSe	1	0.73176263	2.39E-06	2.39E-06	***
d_Bacteria|p_Calditrichaeota|c_Calditrichia|o_Calditrichales|f_Calditrichaceae|g_Caldithrix|s_Caldithrix abyssi	1 - 2 - 3 - 4	d_Bacteria|p_Calditrichaeota|c_Calditrichia|o_Calditrichales|f_Calditrichaceae|g_Caldithrix|s_Caldithrix abyssi	LEfSe	1	0.730523025	3.55E-12	3.55E-12	***
d_Bacteria|p_Cyanobacteria|c_NA|o_Chroococcidiopsidales|f_Chroococcidiopsidaceae|g_Chroococcidiopsis|s_Chroococcidiopsis thermalis	1 - 2 - 3 - 4	d_Bacteria|p_Cyanobacteria|c_NA|o_Chroococcidiopsidales|f_Chroococcidiopsidaceae|g_Chroococcidiopsis|s_Chroococcidiopsis thermalis	LEfSe	1	0.730520171	1.95E-05	1.95E-05	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Chromatiales|f_Ectothiorhodospiraceae|g_Thioalkalivibrio	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Chromatiales|f_Ectothiorhodospiraceae|g_Thioalkalivibrio	LEfSe	1	0.730515396	1.87E-06	1.87E-06	***
d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Oceanidesulfovibrio|s_Oceanidesulfovibrio marinus	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Oceanidesulfovibrio|s_Oceanidesulfovibrio marinus	LEfSe	1	0.729315953	4.88E-11	4.88E-11	***
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Verminephrobacter	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Verminephrobacter	LEfSe	1	0.728850771	7.13E-05	7.13E-05	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Peptococcaceae|g_Desulforamulus|s_Desulforamulus ruminis	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Peptococcaceae|g_Desulforamulus|s_Desulforamulus ruminis	LEfSe	3	0.728528937	2.98E-10	2.98E-10	***
d_Viruses|p_Uroviricota|c_Caudoviricetes|o_Caudovirales|f_Siphoviridae|g_Wongtaivirus|s_Escherichia virus HK542	1 - 2 - 3 - 4	d_Viruses|p_Uroviricota|c_Caudoviricetes|o_Caudovirales|f_Siphoviridae|g_Wongtaivirus|s_Escherichia virus HK542	LEfSe	1	0.728052336	0.00128972	0.00128972	**
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Vibrionales|f_Vibrionaceae|g_Vibrio|s_Vibrio taketomensis	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Vibrionales|f_Vibrionaceae|g_Vibrio|s_Vibrio taketomensis	LEfSe	1	0.727823988	2.23E-07	2.23E-07	***
d_Bacteria|p_Nitrospirae|c_Thermodesulfovibrionia|o_Thermodesulfovibrionales|f_Thermodesulfovibrionaceae|g_Thermodesulfovibrio	1 - 2 - 3 - 4	d_Bacteria|p_Nitrospirae|c_Thermodesulfovibrionia|o_Thermodesulfovibrionales|f_Thermodesulfovibrionaceae|g_Thermodesulfovibrio	LEfSe	1	0.727580393	2.06E-07	2.06E-07	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Bacillus|s_Bacillus sp. FJAT-22090	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Bacillus|s_Bacillus sp. FJAT-22090	LEfSe	1	0.727458869	3.48E-08	3.48E-08	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Desulfallaceae|g_Desulfoscipio|s_Desulfoscipio gibsoniae	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Desulfallaceae|g_Desulfoscipio|s_Desulfoscipio gibsoniae	LEfSe	3	0.72662917	1.59E-10	1.59E-10	***
d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfobacterales|f_Desulfobacteraceae|g_Desulfococcus|s_Desulfococcus multivorans	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfobacterales|f_Desulfobacteraceae|g_Desulfococcus|s_Desulfococcus multivorans	LEfSe	1	0.726319371	0.000378038	0.000378038	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium diphtheriae	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium diphtheriae	LEfSe	1	0.725706209	2.41E-08	2.41E-08	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Alteromonadales|f_Colwelliaceae|g_Colwellia	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Alteromonadales|f_Colwelliaceae|g_Colwellia	LEfSe	1	0.725633353	2.98E-06	2.98E-06	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Bacillus|s_Bacillus glycinifermentans	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Bacillus|s_Bacillus glycinifermentans	LEfSe	1	0.725435583	1.60E-06	1.60E-06	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Paenibacillaceae|g_Paenibacillus|s_Paenibacillus alvei	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Paenibacillaceae|g_Paenibacillus|s_Paenibacillus alvei	LEfSe	3	0.725275525	1.17E-12	1.17E-12	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Alteromonadales|f_Pseudoalteromonadaceae|g_Flocculibacter|s_Flocculibacter collagenilyticus	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Alteromonadales|f_Pseudoalteromonadaceae|g_Flocculibacter|s_Flocculibacter collagenilyticus	LEfSe	1	0.725109206	0.026164728	0.026164728	*
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Oceanospirillales|f_Oceanospirillaceae|g_Marinobacterium|s_Marinobacterium sediminicola	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Oceanospirillales|f_Oceanospirillaceae|g_Marinobacterium|s_Marinobacterium sediminicola	LEfSe	1	0.724971402	1.02E-05	1.02E-05	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Catenulisporales|f_Catenulisporaceae	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Catenulisporales|f_Catenulisporaceae	LEfSe	1	0.724676522	1.17E-08	1.17E-08	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Paenibacillaceae|g_Paenibacillus|s_Paenibacillus sp. YPD9-1	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Paenibacillaceae|g_Paenibacillus|s_Paenibacillus sp. YPD9-1	LEfSe	3	0.723935115	5.66E-11	5.66E-11	***
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Weeksellaceae|g_Chryseobacterium|s_Chryseobacterium glaciei	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Weeksellaceae|g_Chryseobacterium|s_Chryseobacterium glaciei	LEfSe	1	0.723879514	0.001538043	0.001538043	**
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micrococcales|f_Microbacteriaceae|g_Frigoribacterium	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micrococcales|f_Microbacteriaceae|g_Frigoribacterium	LEfSe	1	0.723804702	0.001933645	0.001933645	**
d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Stappiaceae|g_Roseibium	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Stappiaceae|g_Roseibium	LEfSe	3	0.723583745	5.59E-16	5.59E-16	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Salisediminibacterium|s_Salisediminibacterium selenitireducens	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Salisediminibacterium|s_Salisediminibacterium selenitireducens	LEfSe	3	0.722150797	1.59E-07	1.59E-07	***
d_Bacteria|p_Tenericutes|c_Mollicutes|o_Mycoplasmatales|f_Mycoplasmataceae|g_Mycoplasmopsis|s_Mycoplasmopsis canis	1 - 2 - 3 - 4	d_Bacteria|p_Tenericutes|c_Mollicutes|o_Mycoplasmatales|f_Mycoplasmataceae|g_Mycoplasmopsis|s_Mycoplasmopsis canis	LEfSe	1	0.722071919	1.98E-07	1.98E-07	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Alicyclobacillaceae|g_Alicyclobacillus|s_Alicyclobacillus acidocaldarius	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Alicyclobacillaceae|g_Alicyclobacillus|s_Alicyclobacillus acidocaldarius	LEfSe	1	0.721302335	3.61E-08	3.61E-08	***
d_Bacteria|p_Bacteroidetes|c_Cytophagia|o_Cytophagales|f_Cyclobacteriaceae|g_Echinicola|s_Echinicola sp. SCS 3-6	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Cytophagia|o_Cytophagales|f_Cyclobacteriaceae|g_Echinicola|s_Echinicola sp. SCS 3-6	LEfSe	3	0.721072963	6.87E-13	6.87E-13	***
d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfuromonadales|f_Geobacteraceae|g_Geotalea	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfuromonadales|f_Geobacteraceae|g_Geotalea	LEfSe	3	0.720405459	6.89E-12	6.89E-12	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Planococcaceae|g_Planococcus|s_Planococcus maritimus	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Planococcaceae|g_Planococcus|s_Planococcus maritimus	LEfSe	3	0.720183082	1.08E-15	1.08E-15	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Planococcaceae|g_Kurthia	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Planococcaceae|g_Kurthia	LEfSe	3	0.720146427	2.16E-15	2.16E-15	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Aerococcaceae|g_Aerococcus|s_Aerococcus viridans	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Aerococcaceae|g_Aerococcus|s_Aerococcus viridans	LEfSe	1	0.720112208	2.19E-09	2.19E-09	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_Bifidobacterium thermophilum	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_Bifidobacterium thermophilum	LEfSe	3	0.720011375	5.30E-11	5.30E-11	***
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Weeksellaceae|g_Bergeyella|s_Bergeyella cardium	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Weeksellaceae|g_Bergeyella|s_Bergeyella cardium	LEfSe	1	0.719815174	1.90E-05	1.90E-05	***
d_Bacteria|p_Spirochaetes|c_Spirochaetia|o_Spirochaetales|f_Spirochaetaceae|g_Salinispira|s_Salinispira pacifica	1 - 2 - 3 - 4	d_Bacteria|p_Spirochaetes|c_Spirochaetia|o_Spirochaetales|f_Spirochaetaceae|g_Salinispira|s_Salinispira pacifica	LEfSe	1	0.719803081	1.88E-12	1.88E-12	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Enterococcaceae|g_Vagococcus|s_Vagococcus lutrae	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Enterococcaceae|g_Vagococcus|s_Vagococcus lutrae	LEfSe	1	0.719297515	0.000211122	0.000211122	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Streptomycetales|f_Streptomycetaceae|g_Streptomyces|s_Streptomyces globosus	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Streptomycetales|f_Streptomycetaceae|g_Streptomyces|s_Streptomyces globosus	LEfSe	1	0.71895853	8.98E-07	8.98E-07	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Pseudonocardiales|f_Pseudonocardiaceae|g_Amycolatopsis|s_Amycolatopsis keratiniphila	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Pseudonocardiales|f_Pseudonocardiaceae|g_Amycolatopsis|s_Amycolatopsis keratiniphila	LEfSe	1	0.718778524	9.98E-09	9.98E-09	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Paenibacillaceae|g_Paenibacillus|s_Paenibacillus tritici	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Paenibacillaceae|g_Paenibacillus|s_Paenibacillus tritici	LEfSe	3	0.717944321	2.34E-12	2.34E-12	***
d_Bacteria|p_Cyanobacteria|c_NA|o_Chroococcidiopsidales|f_Chroococcidiopsidaceae|g_Chroococcidiopsis	1 - 2 - 3 - 4	d_Bacteria|p_Cyanobacteria|c_NA|o_Chroococcidiopsidales|f_Chroococcidiopsidaceae|g_Chroococcidiopsis	LEfSe	1	0.717844465	1.95E-05	1.95E-05	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micrococcales|f_Microbacteriaceae|g_Mycetocola	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micrococcales|f_Microbacteriaceae|g_Mycetocola	LEfSe	1	0.717541827	2.55E-05	2.55E-05	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Oceanospirillales|f_Oceanospirillaceae|g_Thalassolituus	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Oceanospirillales|f_Oceanospirillaceae|g_Thalassolituus	LEfSe	3	0.717515544	1.51E-13	1.51E-13	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Halanaerobiales|f_Halobacteroidaceae|g_Halobacteroides|s_Halobacteroides halobius	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Halanaerobiales|f_Halobacteroidaceae|g_Halobacteroides|s_Halobacteroides halobius	LEfSe	1	0.716940255	3.35E-07	3.35E-07	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Paenibacillaceae|g_Paenibacillus|s_Paenibacillus tianjinensis	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Paenibacillaceae|g_Paenibacillus|s_Paenibacillus tianjinensis	LEfSe	3	0.71686805	2.22E-10	2.22E-10	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Streptomycetales|f_Streptomycetaceae|g_Yinghuangia|s_Yinghuangia sp. ASG 101	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Streptomycetales|f_Streptomycetaceae|g_Yinghuangia|s_Yinghuangia sp. ASG 101	LEfSe	1	0.716678554	1.18E-06	1.18E-06	***
